Host,Name,IP,Groups,Tags
CL-PTR-TI-ACC-38,CL-PTR-TI-ACC-38,10.4.2.59,"CL-PTR-TI, FLUJOS",
CL-PTR-TI-ACC-39,CL-PTR-TI-ACC-39,10.4.2.58,"CL-PTR-TI, FLUJOS",
CL-PTR-TI-ACC-40,CL-PTR-TI-ACC-40,10.4.2.61,"CL-PTR-TI, FLUJOS",
CL-PLD-PK-SW-18,CL-PLD-PK-SW-18,10.121.194.216,"CL-PLD-PK, switch, Switch-Parking","marca:cisco, modelo:WS-C2960-24TC-S, red:parking"
CO-CM-TI-AP-03,CO-CM-TI-AP-03,192.168.63.132,"CO-CM-TI, AP","marca:cisco, modelo:C9115AXI-A"
CO-CM-TI-SW-03,CO-CM-TI-SW-03,192.168.63.6,"CO-CM-TI, Colombia, switch",
CO-PBQ-COP-WD-01,CO-PBQ-COP-WD-01,10.219.38.33,CO-COP-WATCHDOG,
CO-CM-TI-SW-02,CO-CM-TI-SW-02,192.168.63.2,"CO-CM-TI, Colombia, switch","marca:cisco, modelo:WS-C2960X-48FPS-L"
CO-CM-TI-AP-04,CO-CM-TI-AP-04,192.168.63.133,"CO-CM-TI, AP","marca:cisco, modelo:C9115AXI-A"
CO-CM-TI-SW-01,CO-CM-TI-SW-01,192.168.63.3,"CO-CM-TI, Colombia, switch","marca:cisco, modelo:WS-C2960X-48FPS-L"
CO-CM-TI-SW-CORE,CO-CM-TI-SW-CORE,192.168.62.1,"CO-CM-TI, Colombia, switch","marca:cisco, modelo:WS-C3650-24TS"
CL-PTO-TI-SW-01,CL-PTO-TI-SW-01,10.5.0.2,"CL-PTO-TI, switch","filtro-inventario:switch, marca:cisco, modelo:WS-C2960-24PC-L"
CL-PLD-PK-SW-13,CL-PLD-PK-SW-13,10.121.194.243,"CL-PLD-PK, switch, Switch-Parking","marca:cisco, modelo:SF200-24, red:parking"
CO-NQS-COP-SW-01,CO-NQS-COP-SW-01,10.250.34.34,"CO-NQS-COP, switch","Switch:SWAS-P1-E10-01, Marca:3Com, Modelo:4210 26-Port"
PE-MTR-COP-CAM-105,PE-MTR-COP-CAM-105,10.255.10.46,PE-MTR-COP,
CL-PAR-COP-SW-12,CL-PAR-COP-SW-12,10.160.54.13,"CL-PAR-COP, switch","filtro-inventario:sw-cop, modelo:WS-C2960X-24PS-L, marca:cisco"
CL-PLD-COP-RPT-01,CL-PLD-COP-RPT-01,10.202.45.10,"CL-PLD-COP, CL-COP-RPT",
CL-PVE-COP-CAM-447,CL-PVE-COP-CAM-447,10.150.139.130,CL-PVE-COP,
CO-NQS-COP-SW-12,CO-NQS-COP-SW-12,10.250.34.70,"CO-NQS-COP, switch",Switch:SWAS-P3-C30-02
CL-PVE-COP-CAM-569,CL-PVE-COP-CAM-569,10.150.125.217,CL-PVE-COP,
CO-NQS-COP-SW-10,CO-NQS-COP-SW-10,10.250.34.20,"CO-NQS-COP, switch",Switch:SWAS-S2-BS20-01
CO-NQS-COP-SW-03,CO-NQS-COP-SW-03,10.250.34.39,"CO-NQS-COP, switch",Switch:SWAS-P2-CR20-A-01
CO-NQS-COP-SW-06,CO-NQS-COP-SW-06,10.250.34.41,"CO-NQS-COP, switch",Switch:SWAS-P2-E20-01
CL-PAR-COP-SW-07,CL-PAR-COP-SW-07,10.160.54.8,"CL-PAR-COP, switch","filtro-inventario:sw-cop, modelo:WS-C2960X-24PS-L, marca:cisco"
PE-MTR-COP-CAM-094,PE-MTR-COP-CAM-094,10.255.10.57,PE-MTR-COP,
PE-MTR-COP-CAM-112,PE-MTR-COP-CAM-112,10.255.10.71,PE-MTR-COP,
CL-CM-TI-PISO-10-SW-2,CL-CM-TI-PISO-10-SW-2,10.1.1.209,"CL-CM-TI, switch, switch-radius-ios, TI-SW","filtro-inventario:switch, marca:cisco, modelo:WS-C2960X-48LPD-L"
CL-PCO-COP-CAM-121,CL-PCO-COP-CAM-121,10.152.28.70,CL-PCO-COP,
mplrgazfluapp01,RG-AZ-COP-FLUJOS-APP,10.92.14.6,"servers, AZURE, Windows Server","SO:Windows, SO_VERSION:WS2022, BD:NA, HW:Virtual, MODELO:NA, AREA:COP"
CL-PSU-TI-SW-01,CL-PSU-TI-SW-01,10.11.0.10,"CL-PSU-TI, switch","filtro-inventario:switch, marca:cisco, modelo:WS-C2960-24PC-L"
CL-PBB-TI-SW-02,CL-PBB-TI-SW-02,10.13.0.2,"CL-PBB-TI, switch","marca:cisco, modelo:WS-C2960S-24PS-L"
CL-PLS-TI-SW-02,CL-PLS-TI-SW-02,10.6.1.253,"CL-PLS-TI, switch","marca:cisco, modelo:WS-C3560G-48PS-S"
CL-PLD-PK-SW-12,CL-PLD-PK-SW-12,10.121.194.242,"CL-PLD-PK, switch, Switch-Parking","marca:cisco, modelo:SF200-24, red:parking"
CL-PAR-TI-SW-01,CL-PAR-TI-SW-01,10.23.0.2,"CL-PAR-TI, switch","filtro-inventario:switch, modelo:WS-C2960L-24PS-LL, marca:cisco"
PE-MBV-COP-PME-3,PE-MBV-COP-PME-3,10.225.39.122,"PME, PE-MBV-COP, PME-PERU",
CL-PCO-COP-SW-12,CL-PCO-COP-SW-12,10.152.29.232,"CL-PCO-COP, switch","filtro-inventario:sw-cop, marca:cisco, modelo:WS-C2960+24PC-L"
PE-MBV-COP-PME-5,PE-MBV-COP-PME-5,10.225.39.124,"PME, PE-MBV-COP, PME-PERU",
CL-PCO-COP-CAM-53,CL-PCO-COP-CAM-53,10.152.28.164,CL-PCO-COP,
CL-PCO-COP-CAM-115,CL-PCO-COP-CAM-115,10.152.28.78,CL-PCO-COP,
CO-NQS-COP-SW-23,CO-NQS-COP-SW-23,10.250.34.152,"CO-NQS-COP, switch",Switch:SWAS-P3-E31B-01
CL-PTR-COP-CAM-142,CL-PTR-COP-CAM-142,10.150.20.135,CL-PTR-COP,
CO-NQS-COP-SW-17,CO-NQS-COP-SW-17,10.250.34.40,"CO-NQS-COP, switch",Switch:SWAS-P2-D20-01
CO-NQS-COP-SW-14,CO-NQS-COP-SW-14,10.250.34.25,"CO-NQS-COP, switch",Switch:SWAS-S1-CS10-02
CO-NQS-COP-SW-19,CO-NQS-COP-SW-19,10.250.34.28,"CO-NQS-COP, switch",Switch:SWAS-S1-DS11-01
CO-NQS-COP-SW-40,CO-NQS-COP-SW-40,10.250.34.200,"CO-NQS-COP, switch",Switch:SWAS-S1-GS11-01
CL-PTR-COP-CAM-108,CL-PTR-COP-CAM-108,10.150.20.174,CL-PTR-COP,
CL-PTR-COP-CAM-105,CL-PTR-COP-CAM-105,10.150.20.171,CL-PTR-COP,
CL-PTR-COP-CAM-70,CL-PTR-COP-CAM-70,10.150.20.112,CL-PTR-COP,
CL-PVE-COP-CAM-456,CL-PVE-COP-CAM-456,10.150.139.113,CL-PVE-COP,
CO-PCG-COP-WD-01,CO-PCG-COP-WD-01,10.220.38.33,CO-COP-WATCHDOG,
CL-CM-TI-RT-RESPALDO,CL-CM-TI-RT-RESPALDO,10.199.255.251,"Discovered hosts, CL-CM-TI, routers, routers-ti, CL-ENLACES, router-cl-ti",
CL-PVE-COP-CAM-374,CL-PVE-COP-CAM-374,10.150.5.228,CL-PVE-COP,
PE-MBV-COP-PME-6,PE-MBV-COP-PME-6,10.225.39.125,"PME, PE-MBV-COP, PME-PERU",
CO-NQS-COP-SW-41,CO-NQS-COP-SW-41,10.250.34.91,"CO-NQS-COP, switch",Switch:SWAS-P5-GP51-01
PE-MTR-COP-PME-3,PE-MTR-COP-PME-3,10.227.39.122,"PME, PME-PERU, PE-MTR-COP",
CO-NQS-COP-SW-42,CO-NQS-COP-SW-42,10.250.34.110,"CO-NQS-COP, switch",Switch:SWAS-P11-GP111-01
CO-NQS-COP-SW-43,CO-NQS-COP-SW-43,10.250.34.140,"CO-NQS-COP, switch",Switch:SWAS-P14-GP141-01
CL-PCO-COP-CAM-58,CL-PCO-COP-CAM-58,10.152.28.87,CL-PCO-COP,
CO-NQS-COP-SW-45,CO-NQS-COP-SW-45,10.250.34.66,"CO-NQS-COP, switch",Switch:SWAS-P4-F40-01
CL-PCO-COP-CAM-154,CL-PCO-COP-CAM-154,10.152.28.129,CL-PCO-COP,
CO-NQS-COP-SW-32,CO-NQS-COP-SW-32,10.250.34.30,"CO-NQS-COP, switch",Switch:SWAS-S1-FS10-01
CL-PVE-COP-CAM-565,CL-PVE-COP-CAM-565,10.150.139.175,CL-PVE-COP,
CL-PVE-COP-CAM-584,CL-PVE-COP-CAM-584,10.150.125.24,CL-PVE-COP,
CL-PVE-COP-CAM-506,CL-PVE-COP-CAM-506,10.150.139.151,CL-PVE-COP,
CL-PVE-COP-CAM-73,CL-PVE-COP-CAM-73,10.150.4.229,CL-PVE-COP,
PE-CM-TI-AP-26,PE-CM-TI-AP-26,10.223.6.32,"PE-CM-TI, AP","marca:cisco, modelo:C9130AXI-A"
CO-NQS-COP-SW-39,CO-NQS-COP-SW-39,10.250.34.75,"CO-NQS-COP, switch",Switch:SWAS-P6-C60-02
CL-PVE-COP-CAM-496,CL-PVE-COP-CAM-496,10.150.139.117,CL-PVE-COP,
CO-NQS-COP-SW-18,CO-NQS-COP-SW-18,10.250.34.27,"CO-NQS-COP, switch",Switch:SWAS-S1-DS10-01
